Permission test successful at 2025-06-17 09:10:12
[17-Jun-2025 09:10:12 Europe/Berlin] PHP Warning:  Undefined variable $some_variable_that_does_not_exist in D:\Apps\XAMPP\htdocs\varuna\public\test_error_log.php on line 53
[17-Jun-2025 13:47:51 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:47:51 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:47:51 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:47:51 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:47:51 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:47:59 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:47:59 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:47:59 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:47:59 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:47:59 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:47:59 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:48:01 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:48:01 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:48:01 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:48:01 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:48:01 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:48:01 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:48:01 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:48:01 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:48:05 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:48:05 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:48:05 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:48:05 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:48:07 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:48:07 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:48:07 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:48:07 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:48:07 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:48:07 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:48:09 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:48:09 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:48:11 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:48:11 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:48:11 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:48:11 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:48:11 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:48:11 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:48:27 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:48:27 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:48:27 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:48:27 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:48:34 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:48:34 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:48:34 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:48:34 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:48:35 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:48:35 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:48:43 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:48:43 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:48:44 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:48:44 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:48:44 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:48:44 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:48:45 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:48:45 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:48:45 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:48:45 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:48:48 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:48:48 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:48:48 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:48:48 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:49:22 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:49:22 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 13:49:22 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 13:49:22 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 14:39:59 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 14:39:59 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 14:39:59 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 14:39:59 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 14:40:02 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 14:40:02 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 14:40:02 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 14:40:02 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 14:40:04 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 14:40:04 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 14:40:04 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 14:40:04 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 14:40:37 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 14:40:37 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 14:40:37 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 14:40:37 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 14:40:38 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 14:40:38 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 14:40:46 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 14:40:46 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 14:40:46 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 14:40:46 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 14:40:47 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 14:40:47 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 14:40:49 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 14:40:49 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 14:40:49 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 14:40:49 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 14:40:49 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 14:40:49 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 14:40:52 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 14:40:52 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 14:40:52 Asia/Kolkata] PHP Fatal error:  Uncaught PDOException: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'r.remark_by_user_id' in 'SELECT' in D:\Apps\XAMPP\htdocs\varuna\public\id_card.php:36
Stack trace:
#0 D:\Apps\XAMPP\htdocs\varuna\public\id_card.php(36): PDOStatement->execute(Array)
#1 {main}
  thrown in D:\Apps\XAMPP\htdocs\varuna\public\id_card.php on line 36
[17-Jun-2025 14:41:05 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 14:41:05 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 14:41:05 Asia/Kolkata] PHP Fatal error:  Uncaught PDOException: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'r.remark_by_user_id' in 'SELECT' in D:\Apps\XAMPP\htdocs\varuna\public\id_card.php:36
Stack trace:
#0 D:\Apps\XAMPP\htdocs\varuna\public\id_card.php(36): PDOStatement->execute(Array)
#1 {main}
  thrown in D:\Apps\XAMPP\htdocs\varuna\public\id_card.php on line 36
[17-Jun-2025 14:42:51 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 14:42:51 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 14:42:52 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 14:42:52 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 14:42:52 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 14:42:52 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 14:42:52 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 14:42:52 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 14:42:53 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 14:42:53 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 14:42:53 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 14:42:53 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 14:43:00 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 14:43:00 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 14:43:00 Asia/Kolkata] PHP Fatal error:  Uncaught PDOException: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'r.remark_by_user_id' in 'SELECT' in D:\Apps\XAMPP\htdocs\varuna\public\id_card.php:36
Stack trace:
#0 D:\Apps\XAMPP\htdocs\varuna\public\id_card.php(36): PDOStatement->execute(Array)
#1 {main}
  thrown in D:\Apps\XAMPP\htdocs\varuna\public\id_card.php on line 36
[17-Jun-2025 14:43:05 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 14:43:05 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 14:43:05 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 14:43:05 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 14:43:05 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 14:43:05 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 14:43:08 Asia/Kolkata] PHP Warning:  session_set_cookie_params(): Session cookie parameters cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 11
[17-Jun-2025 14:43:08 Asia/Kolkata] PHP Warning:  session_name(): Session name cannot be changed when a session is active in D:\Apps\XAMPP\htdocs\varuna\src\core\session.php on line 12
[17-Jun-2025 14:43:08 Asia/Kolkata] PHP Fatal error:  Uncaught PDOException: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'r.remark_by_user_id' in 'SELECT' in D:\Apps\XAMPP\htdocs\varuna\public\id_card.php:36
Stack trace:
#0 D:\Apps\XAMPP\htdocs\varuna\public\id_card.php(36): PDOStatement->execute(Array)
#1 {main}
  thrown in D:\Apps\XAMPP\htdocs\varuna\public\id_card.php on line 36
[17-Jun-2025 14:50:34 Asia/Kolkata] PHP Fatal error:  Uncaught Error: Class "chillerlan\QRCode\QROptions" not found in D:\Apps\XAMPP\htdocs\varuna\public\id_card.php:70
Stack trace:
#0 {main}
  thrown in D:\Apps\XAMPP\htdocs\varuna\public\id_card.php on line 70
[17-Jun-2025 14:50:43 Asia/Kolkata] PHP Fatal error:  Uncaught Error: Class "chillerlan\QRCode\QROptions" not found in D:\Apps\XAMPP\htdocs\varuna\public\id_card.php:70
Stack trace:
#0 {main}
  thrown in D:\Apps\XAMPP\htdocs\varuna\public\id_card.php on line 70
--------------------------------------------------------------------------------
[17-Jun-2025 14:51:44 Asia/Kolkata] PHP Fatal error:  Uncaught Error: Class "chillerlan\QRCode\QROptions" not found in D:\Apps\XAMPP\htdocs\varuna\public\id_card.php:70
Stack trace:
#0 {main}
  thrown in D:\Apps\XAMPP\htdocs\varuna\public\id_card.php on line 70
[17-Jun-2025 15:43:25 Asia/Kolkata] PHP Fatal error:  Uncaught Error: Call to undefined method Endroid\QrCode\QrCode::setEncoding() in D:\Apps\XAMPP\htdocs\varuna\public\id_card.php:73
Stack trace:
#0 {main}
  thrown in D:\Apps\XAMPP\htdocs\varuna\public\id_card.php on line 73
[17-Jun-2025 16:24:30 Asia/Kolkata] QR Code Generation Failed with Builder: The SVG writer does not support logo punchout background
[17-Jun-2025 16:25:39 Asia/Kolkata] QR Code Generation Failed with Builder: SVG Logos require an explicitly set resize width and height
[17-Jun-2025 16:29:46 Asia/Kolkata] QR Code Generation Failed with Builder: SVG Logos require an explicitly set resize width and height
[17-Jun-2025 16:46:36 Asia/Kolkata] PHP Fatal error:  Uncaught Error: Class "chillerlan\QRCode\QROutput\QROutputInterface" not found in D:\Apps\XAMPP\htdocs\varuna\public\api\g.php:47
Stack trace:
#0 {main}
  thrown in D:\Apps\XAMPP\htdocs\varuna\public\api\g.php on line 47
[17-Jun-2025 17:23:10 Asia/Kolkata] ID Card Data Fetch Error for staff_id ZY55R60: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'c.section' in 'SELECT'
[17-Jun-2025 17:23:18 Asia/Kolkata] ID Card Data Fetch Error for staff_id ZY55R60: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'c.section' in 'SELECT'
[17-Jun-2025 17:26:09 Asia/Kolkata] ID Card Data Fetch Error for staff_id ZY55R60: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'c.section' in 'SELECT'
[17-Jun-2025 17:26:14 Asia/Kolkata] ID Card Data Fetch Error for staff_id ZY55R60: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'c.section' in 'SELECT'
[17-Jun-2025 17:41:17 Asia/Kolkata] PHP Warning:  Undefined array key "station_code" in D:\Apps\XAMPP\htdocs\varuna\public\id_card.php on line 122
[17-Jun-2025 17:41:17 Asia/Kolkata] PHP Deprecated:  htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated in D:\Apps\XAMPP\htdocs\varuna\public\id_card.php on line 122
[17-Jun-2025 17:42:25 Asia/Kolkata] PHP Warning:  Undefined array key "station_code" in D:\Apps\XAMPP\htdocs\varuna\public\id_card.php on line 124
